Nome,Data,Estado,Apoiamentos
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,AC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,AL,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,AP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,AM,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,BA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,CE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,DF,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,ES,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,GO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,MA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,MT,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,MS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,MG,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,PA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,PB,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,PR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,PE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,PI,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,RJ,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,RN,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,RS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,RO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,RR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,SC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,SP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,SE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-16,TO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,AC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,AL,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,AP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,AM,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,BA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,CE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,DF,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,ES,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,GO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,MA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,MT,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,MS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,MG,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,PA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,PB,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,PR,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,PE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,PI,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,RJ,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,RN,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,RS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,RO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-16,RR,Total de aptos: 0
