Nome,Data,Estado,Apoiamentos
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,AC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,AL,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,AP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,AM,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,BA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,CE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,DF,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,ES,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,GO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,MA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,MT,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,MS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,MG,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,PA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,PB,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,PR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,PE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,PI,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,RJ,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,RN,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,RS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,RO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,RR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,SC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,SP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,SE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-12,TO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,AC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,AL,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,AP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,AM,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,BA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,CE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,DF,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,ES,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,GO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,MA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,MT,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,MS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,MG,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,PA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,PB,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,PR,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,PE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,PI,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,RJ,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,RN,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,RS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,RO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,RR,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,SC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,SP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,SE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-12,TO,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,AC,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,AL,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,AP,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,AM,Total de aptos: 86
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,BA,Total de aptos: 511
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,CE,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,DF,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,ES,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,GO,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,MA,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,MT,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,MS,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,MG,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-12,PA,Total de aptos: 0
