Nome,Data,Estado,Apoiamentos
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,AC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,AL,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,AP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,AM,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,BA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,CE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,DF,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,ES,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,GO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,MA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,MT,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,MS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,MG,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,PA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,PB,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,PR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,PE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,PI,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,RJ,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,RN,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,RS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,RO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,RR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,SC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,SP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,SE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-13,TO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,AC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,AL,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,AP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,AM,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,BA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,CE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,DF,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,ES,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,GO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,MA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,MT,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,MS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,MG,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-13,PA,Total de aptos: 0
