Nome,Data,Estado,Apoiamentos
MISSÃO - PARTIDO MISSÃO,2024-07-05,AC,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,AL,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,AP,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,AM,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,BA,Total de aptos: 9541
MISSÃO - PARTIDO MISSÃO,2024-07-05,CE,Total de aptos: 133
MISSÃO - PARTIDO MISSÃO,2024-07-05,DF,Total de aptos: 4680
MISSÃO - PARTIDO MISSÃO,2024-07-05,ES,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,GO,Total de aptos: 2457
MISSÃO - PARTIDO MISSÃO,2024-07-05,MA,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,MT,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,MS,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,MG,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,PA,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,PB,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,PR,Total de aptos: 7193
MISSÃO - PARTIDO MISSÃO,2024-07-05,PE,Total de aptos: 2751
MISSÃO - PARTIDO MISSÃO,2024-07-05,PI,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,RJ,Total de aptos: 3821
MISSÃO - PARTIDO MISSÃO,2024-07-05,RN,Total de aptos: 3223
MISSÃO - PARTIDO MISSÃO,2024-07-05,RS,Total de aptos: 181
MISSÃO - PARTIDO MISSÃO,2024-07-05,RO,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,RR,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,SC,Total de aptos: 0
MISSÃO - PARTIDO MISSÃO,2024-07-05,SP,Total de aptos: 32692
MISSÃO - PARTIDO MISSÃO,2024-07-05,SE,Total de aptos: 523
MISSÃO - PARTIDO MISSÃO,2024-07-05,TO,Total de aptos: 0
