Nome,Data,Estado,Apoiamentos
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,AC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,AL,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,AP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,AM,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,BA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,CE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,DF,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,ES,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,GO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,MA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,MT,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,MS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,MG,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,PA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,PB,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,PR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,PE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,PI,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,RJ,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,RN,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,RS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,RO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,RR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,SC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,SP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,SE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-08,TO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,AC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,AL,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,AP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,AM,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,BA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,CE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,DF,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,ES,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,GO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,MA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,MT,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,MS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,MG,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,PA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,PB,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,PR,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,PE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,PI,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,RJ,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,RN,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,RS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,RO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,RR,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,SC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,SP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,SE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-08,TO,Total de aptos: 0
