Nome,Data,Estado,Apoiamentos
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,AC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,AL,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,AP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,AM,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,BA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,CE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,DF,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,ES,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,GO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,MA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,MT,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,MS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,MG,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,PA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,PB,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,PR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,PE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,PI,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,RJ,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,RN,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,RS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,RO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,RR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,SC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,SP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,SE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-06,TO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,AC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,AL,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,AP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,AM,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,BA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,CE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,DF,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,ES,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,GO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,MA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,MT,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,MS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,MG,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-06,PA,Total de aptos: 0
