Nome,Data,Estado,Apoiamentos
MISSÃO - PARTIDO MISSÃO,2024-05-17,DF,Total de aptos: 2916
MISSÃO - PARTIDO MISSÃO,2024-05-17,PR,Total de aptos: 1221
MISSÃO - PARTIDO MISSÃO,2024-05-17,SP,Total de aptos: 784
MISSÃO - PARTIDO MISSÃO,2024-05-18,DF,Total de aptos: 2916
MISSÃO - PARTIDO MISSÃO,2024-05-18,PR,Total de aptos: 1221
MISSÃO - PARTIDO MISSÃO,2024-05-18,SP,Total de aptos: 784
MISSÃO - PARTIDO MISSÃO,2024-05-19,DF,Total de aptos: 2916
MISSÃO - PARTIDO MISSÃO,2024-05-19,PR,Total de aptos: 1221
MISSÃO - PARTIDO MISSÃO,2024-05-19,SP,Total de aptos: 784
MISSÃO - PARTIDO MISSÃO,2024-05-20,DF,Total de aptos: 3051
MISSÃO - PARTIDO MISSÃO,2024-05-20,PR,Total de aptos: 1679
MISSÃO - PARTIDO MISSÃO,2024-05-20,SP,Total de aptos: 1175
MISSÃO - PARTIDO MISSÃO,2024-05-21,DF,Total de aptos: 3051
MISSÃO - PARTIDO MISSÃO,2024-05-21,PR,Total de aptos: 2339
MISSÃO - PARTIDO MISSÃO,2024-05-21,SP,Total de aptos: 1176
MISSÃO - PARTIDO MISSÃO,2024-05-22,PR,Total de aptos: 1342
MISSÃO - PARTIDO MISSÃO,2024-05-22,DF,Total de aptos: 3051
MISSÃO - PARTIDO MISSÃO,2024-05-22,SP,Total de aptos: 1452
MISSÃO - PARTIDO MISSÃO,2024-05-23,PR,Total de aptos: 4547
MISSÃO - PARTIDO MISSÃO,2024-05-23,DF,Total de aptos: 3051
MISSÃO - PARTIDO MISSÃO,2024-05-23,SP,Total de aptos: 1547
MISSÃO - PARTIDO MISSÃO,2024-05-24,PR,Total de aptos: 4808
MISSÃO - PARTIDO MISSÃO,2024-05-24,DF,Total de aptos: 3123
MISSÃO - PARTIDO MISSÃO,2024-05-24,SP,Total de aptos: 1547
MISSÃO - PARTIDO MISSÃO,2024-05-25,PR,Total de aptos: 4808
MISSÃO - PARTIDO MISSÃO,2024-05-25,DF,Total de aptos: 3123
MISSÃO - PARTIDO MISSÃO,2024-05-25,SP,Total de aptos: 1547
MISSÃO - PARTIDO MISSÃO,2024-05-26,PR,Total de aptos: 4808
MISSÃO - PARTIDO MISSÃO,2024-05-26,DF,Total de aptos: 3123
MISSÃO - PARTIDO MISSÃO,2024-05-26,SP,Total de aptos: 1547
MISSÃO - PARTIDO MISSÃO,2024-05-27,PR,Total de aptos: 4932
MISSÃO - PARTIDO MISSÃO,2024-05-27,DF,Total de aptos: 3231
